Year,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total Line Losses (GWh),,,,,,,,,,,,,,,,,2408.6,2405.0,2400.7,2456.9,2538.2,2614.2,2611.5,2737.1,2798.2,2769.3,3044.4,3027.6,3013.2,2892.8,2994.0,2978.0,3010.7,3028.9,3129.9,2992.3,3102.0,2998.8,3001.9,2895.1,2851.0,2896.6,2955.1,2944.2,2942.0,3000.6,2971.7,2997.2,3035.6,3016.1,3039.2
Losses - Transmission,,,,,,,,,,,,,,,,,1189.5,1208.4,1185.6,1234.4,1259.3,1286.0,1248.8,1339.5,1376.4,1355.0,1545.1,1467.0,1443.8,1302.8,1327.6,1273.2,1346.3,1338.3,1449.6,1351.0,1358.6,1310.8,1386.8,1305.0,1251.5,1244.6,1396.1,1374.8,1393.1,1406.5,1351.3,1368.7,1463.9,1406.1,1393.0
Losses - Distribution,,,,,,,,,,,,,,,,,1217.6,1194.3,1209.7,1228.7,1273.2,1326.3,1363.1,1400.0,1418.5,1414.8,1498.0,1562.0,1568.7,1588.4,1665.0,1706.0,1664.2,1690.3,1678.3,1643.5,1742.1,1690.0,1616.2,1590.2,1599.5,1651.9,1558.9,1569.4,1548.9,1594.1,1620.4,1628.5,1571.7,1610.0,1646.2
