Year,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Average consumption per ICP (KWh),,,,,,,,,,,,,,,,,,,,,,,,,19041.0,19637.7,19823.2,20023.9,19951.8,19735.4,20503.1,20284.0,20247.9,20455.8,20180.2,19939.1,20540.0,20215.5,19898.6,19691.3,19680.8,19640.4,19199.4,19059.2,18982.9,19101.5,18484.5,18303.4,17901.4,17685.9,17467.6
"Agriculture, Forestry, and Fishing",,,,,,,,,,,,,,,,,,,,,,,,,13182.6,15307.3,17512.0,19665.5,19031.9,19660.8,19420.9,19243.8,21723.5,24207.6,27157.5,28185.8,34015.4,30700.4,28861.1,30810.2,33819.0,35905.2,32212.6,32682.4,29083.2,31879.3,31334.6,30155.9,28092.1,29805.9,32102.5
Industrial,,,,,,,,,,,,,,,,,,,,,,,,,382186.5,424637.0,437071.9,478485.7,490384.9,454695.1,479104.2,447554.5,399248.6,386627.8,378027.9,363770.9,425110.6,409257.8,404664.7,409619.3,387854.9,371271.8,350593.5,341871.7,331518.6,326881.7,292720.2,276305.2,265469.9,267557.0,272315.7
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,46460.4,48384.9,50458.0,52476.0,52116.5,52340.0,56645.6,54621.3,54658.8,58471.2,58174.9,54974.4,59277.5,55670.9,53876.5,54440.9,55922.6,55848.3,54608.2,53880.9,53672.5,52483.4,48692.0,48166.9,48129.6,49084.8,48751.5
Residential,,,,,,,,,,,,,,,,,,,,,,,,,7595.0,7854.2,7651.0,7847.6,7599.4,7782.8,7842.4,7595.1,7796.7,7723.6,7662.2,7924.9,7608.1,7592.6,7602.1,7364.0,7341.0,7246.3,7120.8,7054.9,7196.2,7150.1,7226.8,7347.3,7144.3,7174.9,7206.0
